customer_id,age,tenure_months,monthly_spend,channel
45,38.0,10.0,58.66787272758105,Mobile App
46,26.0,58.0,29.311290908078163,Mobile App
47,56.0,19.0,46.88943447103956,Online
48,35.0,58.0,75.16985449367337,In-Store
49,21.0,32.0,21.143995012167522,Online
50,42.0,1.0,26.363569643673426,Online
51,31.0,56.0,57.97229499009637,Mobile App
52,67.0,5.0,71.55883521447973,Online
53,26.0,45.0,40.967796951525884,Mobile App
54,43.0,4.0,55.63155419354761,In-Store
55,19.0,16.0,91.52085170691272,In-Store
56,37.0,24.0,63.0657620334474,In-Store
57,45.0,16.0,40.029713354281846,Mobile App
58,64.0,55.0,66.29731949733191,In-Store
59,24.0,2.0,27.554476641890247,In-Store
60,,49.0,56.85871779218385,Online
61,25.0,28.0,44.70659552856349,In-Store
62,64.0,32.0,58.452511001168666,Online
63,52.0,27.0,38.83555823701781,Mobile App
64,31.0,20.0,56.46090701895036,In-Store
65,34.0,24.0,37.748785080357464,In-Store
66,53.0,12.0,68.95729873796266,Online
67,67.0,50.0,47.53375438507135,Online
68,57.0,35.0,18.46582288129954,Mobile App
69,21.0,33.0,239.51753908052768,Online
70,19.0,33.0,50.35285461817226,Online
71,23.0,51.0,112.01926535342486,Online
72,59.0,43.0,76.84988097540202,Mobile App
73,21.0,37.0,17.706255884892023,Mobile App
74,,12.0,17.213545492503307,Online
75,35.0,3.0,75.9660318052944,Online
76,43.0,1.0,57.88819094549321,Online
77,61.0,33.0,135.28369232287332,Mobile App
78,51.0,40.0,41.770087514471356,In-Store
79,27.0,10.0,,Online
80,53.0,43.0,54.67874097188569,Online
81,31.0,44.0,42.603537025452795,Online
82,48.0,29.0,79.87685745052698,In-Store
83,65.0,13.0,,Mobile App
84,32.0,12.0,37.34691655347102,Online
85,25.0,31.0,29.7961854944978,Online
86,31.0,46.0,75.35509179801208,Online
87,40.0,2.0,21.996809432450654,Mobile App
88,57.0,51.0,66.30572930866036,Online
89,38.0,50.0,120.83275813344098,Mobile App
90,33.0,35.0,20.83511137664403,In-Store
91,62.0,23.0,95.87533328840637,Online
92,35.0,17.0,52.35718065525625,Online
93,64.0,26.0,26.079861054919757,Online
94,41.0,8.0,,In-Store
95,43.0,29.0,69.24132208263295,Mobile App
96,42.0,26.0,31.3936209488986,In-Store
97,62.0,10.0,445.5650759460837,In-Store
98,58.0,26.0,100.89192242948046,Online
99,46.0,34.0,38.93907950728766,Mobile App
100,32.0,51.0,35.626612656371634,Mobile App
101,62.0,41.0,49.29729694577977,Online
102,18.0,7.0,43.48056120956485,Mobile App
103,42.0,4.0,74.4340644227107,In-Store
104,24.0,58.0,53.65310312813841,In-Store
105,26.0,53.0,46.328264709542694,Mobile App
106,41.0,50.0,34.97767244834265,Mobile App
107,18.0,45.0,25.115421924294495,In-Store
108,61.0,11.0,19.29228366701157,Online
109,25.0,29.0,24.62434515064374,Online
110,41.0,56.0,50.772323497080166,Mobile App
111,28.0,36.0,24.122430314320738,Online
112,68.0,25.0,46.18473802373689,Online
113,34.0,21.0,110.83360128699212,Online
114,25.0,57.0,91.52725923694454,Online
115,52.0,36.0,44.568490797486604,In-Store
116,52.0,10.0,144.942640006143,Mobile App
117,50.0,37.0,52.56815423193691,Online
118,22.0,9.0,47.750897971589154,Online
119,,24.0,43.76708266083415,Online
120,56.0,35.0,49.70306393535068,Mobile App
121,,49.0,42.8108223056833,In-Store
122,45.0,35.0,44.57378653337996,Online
123,24.0,48.0,103.70752076927019,Mobile App
124,26.0,36.0,89.74461364037379,Mobile App
125,25.0,18.0,13.074855705428327,Mobile App
126,29.0,49.0,29.17995621781247,Mobile App
127,51.0,39.0,35.512360075400046,Online
128,50.0,32.0,77.1755075343956,Mobile App
129,65.0,24.0,87.13031054181297,In-Store
130,40.0,23.0,67.30920430171697,Mobile App
131,41.0,32.0,27.828133379878388,Mobile App
132,54.0,37.0,39.57844325444609,Mobile App
133,52.0,12.0,56.824488920682164,In-Store
134,61.0,49.0,49.09731333213213,Online
135,57.0,55.0,48.00334106168535,In-Store
136,39.0,13.0,35.69365282373713,Mobile App
137,44.0,23.0,82.54800030523703,Mobile App
138,,25.0,63.85777895460071,Online
139,18.0,35.0,43.38669602722105,Online
140,52.0,41.0,60.832209903504676,Online
141,54.0,30.0,25.5142831374554,Mobile App
142,64.0,17.0,33.61355876712033,Mobile App
143,31.0,49.0,86.29019338840153,Online
144,20.0,20.0,18.702787351324968,In-Store
145,18.0,48.0,71.15610698596277,Mobile App
146,22.0,25.0,15.105483540928368,Mobile App
147,43.0,22.0,104.20535182020079,In-Store
148,31.0,13.0,31.981899216573396,In-Store
149,56.0,59.0,68.29497884437588,In-Store
150,44.0,19.0,48.56374137306038,Online
151,26.0,49.0,58.49573446963085,In-Store
152,32.0,36.0,58.823203424925204,In-Store
153,32.0,12.0,14.631371366466896,Mobile App
154,43.0,41.0,56.63300346426472,In-Store
155,59.0,19.0,41.360477643335244,Mobile App
156,30.0,12.0,31.781845707346264,Online
157,68.0,9.0,26.503901329777918,In-Store
158,49.0,7.0,47.09154179275844,Online
159,56.0,28.0,28.902317968384594,Online
160,66.0,14.0,75.07570817069632,Mobile App
161,69.0,31.0,62.028878918265264,Mobile App
162,49.0,52.0,62.20488791863182,Online
163,,19.0,74.92216768862245,Online
164,47.0,58.0,27.129721638925027,Mobile App
165,54.0,47.0,30.230721074875063,Online
166,40.0,16.0,58.86705157966152,In-Store
167,56.0,53.0,40.62645530035682,Mobile App
168,62.0,5.0,28.312905896957936,In-Store
169,32.0,35.0,24.990541697751198,Online
170,60.0,12.0,24.14155581916601,Online
171,46.0,25.0,79.25759703813736,Mobile App
172,53.0,52.0,68.94142771349745,In-Store
173,30.0,59.0,62.40051219729301,Online
174,49.0,21.0,33.79171303425683,Mobile App
175,24.0,36.0,53.86366778241614,Online
176,68.0,53.0,91.1719100953824,Mobile App
177,39.0,23.0,32.02976428472259,Online
178,45.0,16.0,43.94906691447247,Mobile App
179,19.0,57.0,118.04334216068459,Online
180,59.0,39.0,71.6614859095017,Online
181,62.0,45.0,41.24373959566436,Online
182,23.0,53.0,73.14620239315117,Online
183,45.0,42.0,25.148405152756894,Mobile App
184,45.0,58.0,55.604322169209915,Mobile App
185,61.0,39.0,68.91081342904573,Online
186,61.0,14.0,54.25435639971358,Online
187,37.0,31.0,66.19775313159158,Mobile App
188,47.0,58.0,81.50126506627532,Mobile App
189,28.0,5.0,53.83473828967311,In-Store
190,45.0,35.0,61.97329012954827,Online
191,,23.0,52.206007193281565,Online
192,56.0,29.0,27.633225429914038,In-Store
193,50.0,43.0,84.63991616561317,Online
194,18.0,11.0,42.338902559661996,In-Store
195,44.0,18.0,64.52318741625979,Online
196,69.0,47.0,81.76607362849984,Mobile App
197,30.0,12.0,32.24429558652641,Online
198,58.0,9.0,32.97308810521127,In-Store
199,20.0,10.0,35.894743436565406,In-Store
200,56.0,58.0,96.71792308651908,In-Store
201,23.0,44.0,35.04471768227562,Online
202,25.0,17.0,92.04299161833157,In-Store
203,44.0,38.0,56.4103414040114,In-Store
204,26.0,7.0,49.00442730478573,In-Store
205,54.0,46.0,79.78816682082808,In-Store
206,50.0,13.0,,In-Store
207,68.0,40.0,84.18658379419763,Mobile App
208,59.0,42.0,41.21991779111916,Online
209,,9.0,88.10547368034099,Mobile App
210,41.0,50.0,45.04974282324947,In-Store
211,32.0,27.0,95.30657873131445,Online
212,49.0,58.0,47.96511292251744,Online
213,49.0,2.0,34.087115805589825,Online
214,41.0,5.0,21.600717727816633,Mobile App
215,58.0,29.0,32.686456163918606,Mobile App
216,69.0,37.0,50.25639825229529,Mobile App
217,66.0,38.0,57.41571960408319,In-Store
218,66.0,19.0,74.97978467554572,Online
219,69.0,8.0,37.38398771392169,Online
220,29.0,48.0,32.72010332860491,Online
221,56.0,45.0,63.61729881112357,Online
222,19.0,1.0,44.51733041469423,Online
223,20.0,22.0,59.91571313457573,Online
224,66.0,52.0,41.923944196539544,In-Store
225,54.0,17.0,33.45213754253487,Mobile App
226,66.0,7.0,28.430484093460322,Mobile App
227,34.0,25.0,84.26552202561028,Mobile App
228,66.0,45.0,,In-Store
229,19.0,4.0,28.785133003472968,Online
230,19.0,36.0,38.74081358621073,In-Store
231,45.0,6.0,59.39287427024951,Mobile App
232,40.0,31.0,100.44062341006477,Online
233,54.0,19.0,107.78620860946002,Online
234,49.0,44.0,39.98906935491115,Mobile App
235,50.0,54.0,47.43502652395661,Online
236,18.0,39.0,59.11878598318002,In-Store
237,36.0,27.0,56.86451957494264,In-Store
238,19.0,10.0,38.82036257930537,Online
239,61.0,26.0,31.25910726359255,Online
240,43.0,19.0,44.894032811336544,Online
241,49.0,39.0,113.72584535157756,Online
242,23.0,3.0,236.10873595364635,Online
243,49.0,45.0,59.23588103830671,Mobile App
244,21.0,13.0,143.21327708101546,Online
245,28.0,50.0,43.354633666979325,In-Store
246,,28.0,67.53560919768427,Online
247,55.0,58.0,121.829127728494,Mobile App
248,,20.0,62.282499398162265,Online
249,22.0,28.0,82.16734779409511,Online
250,69.0,8.0,66.05149221983135,Mobile App
251,51.0,41.0,66.05666907551316,Mobile App
252,23.0,39.0,96.00595128289291,Online
253,,1.0,467.0966308933299,Mobile App
254,28.0,3.0,36.94451416363075,In-Store
255,65.0,13.0,47.60243560220954,In-Store
256,33.0,28.0,58.12726272378563,Online
257,50.0,57.0,48.21807975530233,Online
258,26.0,49.0,59.5659205470848,Mobile App
259,23.0,25.0,48.64827431514988,In-Store
260,33.0,56.0,74.78581349192665,Online
261,46.0,33.0,129.7310810829279,Mobile App
262,20.0,38.0,57.824865376890564,Mobile App
263,37.0,53.0,108.31675444856842,Online
264,53.0,6.0,58.614477892002014,In-Store
265,36.0,58.0,62.14729691578801,Online
266,43.0,44.0,43.230899168703615,Mobile App
267,20.0,45.0,58.44505653422735,In-Store
268,36.0,32.0,52.946283036443816,Mobile App
269,,45.0,38.68470682835767,Online
270,49.0,47.0,41.91183347800813,Online
271,24.0,21.0,56.269470115479294,Online
272,69.0,16.0,96.70701402891892,Online
273,58.0,54.0,54.61097288129372,Online
274,50.0,21.0,20.281862074065423,Mobile App
275,57.0,11.0,9.997583779088462,Online
276,56.0,37.0,30.937248280783827,Online
277,35.0,36.0,70.78088295244156,Mobile App
278,57.0,35.0,26.62099711345004,Online
279,18.0,19.0,568.8207412553257,Mobile App
280,28.0,20.0,,Online
281,45.0,57.0,54.71954478445551,In-Store
282,42.0,18.0,30.7327759223588,Online
283,67.0,47.0,48.47714562470883,Online
284,40.0,41.0,61.55812069897628,Mobile App
285,48.0,49.0,31.208500235512147,Online
286,47.0,14.0,91.01098753395084,In-Store
287,59.0,15.0,,Online
288,52.0,31.0,61.5636589005317,Online
289,24.0,1.0,58.199217096470974,Mobile App
290,33.0,53.0,98.08954146737551,Online
291,43.0,54.0,61.209450833596975,In-Store
292,65.0,54.0,76.20165791157875,Mobile App
293,69.0,3.0,26.514094314740166,In-Store
294,66.0,16.0,107.11798154299798,Mobile App
295,19.0,23.0,50.12067342192456,Online
296,18.0,57.0,42.62939728715371,Online
297,65.0,11.0,33.33596161579312,Online
298,29.0,12.0,12.872560100446425,Mobile App
299,22.0,10.0,,Mobile App
300,54.0,32.0,14.758476577429136,Online
301,49.0,16.0,67.30057803195398,In-Store
302,26.0,8.0,53.75281065838251,Online
303,58.0,38.0,32.08162997883208,In-Store
304,52.0,12.0,42.442660143197095,In-Store
305,36.0,24.0,47.11182105002996,Mobile App
306,65.0,28.0,26.20623460205251,In-Store
307,33.0,53.0,50.727960696892296,Online
308,20.0,8.0,43.06218672183615,Online
309,37.0,58.0,51.645760954032895,Online
310,41.0,28.0,33.91246726044444,Online
311,50.0,36.0,30.93977081267824,Online
312,41.0,26.0,41.302007421876866,Mobile App
313,69.0,8.0,29.97686072430502,In-Store
314,28.0,58.0,73.12847597989287,In-Store
315,66.0,50.0,100.00028502947583,Online
316,,28.0,75.59248251365746,Mobile App
317,53.0,28.0,,Mobile App
318,55.0,37.0,37.25387132108617,Online
319,57.0,41.0,78.47857885227603,Mobile App
320,37.0,36.0,68.46286419790789,In-Store
321,52.0,27.0,,Online
322,65.0,54.0,,In-Store
323,42.0,17.0,104.4698820202567,In-Store
324,52.0,9.0,47.74628498305912,Online
325,42.0,33.0,35.971267778242265,Mobile App
326,46.0,53.0,45.17944829250169,Mobile App
327,35.0,20.0,60.22220900279548,In-Store
328,63.0,13.0,31.428696882168087,In-Store
329,35.0,28.0,107.39202085260048,Online
330,19.0,48.0,66.06785508130682,In-Store
331,52.0,29.0,49.63813129435532,In-Store
332,33.0,13.0,46.91278097112444,Online
333,58.0,46.0,47.8210012317903,In-Store
334,53.0,35.0,21.968594117829575,Mobile App
335,50.0,6.0,31.093364506706365,In-Store
336,21.0,18.0,97.66843541152144,Online
337,50.0,51.0,61.05366428171689,Mobile App
338,31.0,5.0,73.02121574397157,Online
339,38.0,47.0,86.76693231261578,Online
340,65.0,25.0,46.56413407331813,Online
341,37.0,2.0,58.800642244855354,Online
342,25.0,10.0,15.478786147196665,Mobile App
343,24.0,56.0,104.96372525485556,In-Store
344,20.0,30.0,93.22272271493586,Online
345,34.0,50.0,68.36256861313275,Mobile App
346,50.0,59.0,64.43095729989564,Mobile App
347,65.0,45.0,52.87731502786303,Mobile App
348,29.0,5.0,77.65104529681942,Online
349,68.0,55.0,78.53662114670084,In-Store
350,39.0,56.0,19.732799226825232,Mobile App
351,39.0,33.0,41.66266573975754,Mobile App
352,63.0,54.0,34.5645604292551,Online
353,47.0,1.0,16.229612261539494,Online
354,55.0,18.0,81.10409111845235,In-Store
355,55.0,32.0,48.46165779416638,Mobile App
356,62.0,47.0,66.95983847694863,In-Store
357,68.0,49.0,56.61140659685161,In-Store
358,25.0,11.0,19.38510144720873,Online
359,44.0,21.0,19.003326371162157,In-Store
360,44.0,26.0,38.20308130574392,Mobile App
361,51.0,25.0,39.55317478276692,Online
362,38.0,22.0,38.640379315357826,Mobile App
363,47.0,59.0,50.32750828573721,Mobile App
364,50.0,27.0,123.58129460170932,Online
365,45.0,49.0,85.61616778294928,In-Store
366,64.0,13.0,50.038849465785205,Online
367,50.0,33.0,48.17164331318271,Mobile App
368,22.0,34.0,,In-Store
369,65.0,41.0,73.06353833531142,In-Store
370,36.0,35.0,48.55525257236688,Mobile App
371,21.0,1.0,67.20538977204592,Online
372,52.0,21.0,55.401622726004,Mobile App
373,66.0,48.0,130.45968930549162,In-Store
374,34.0,55.0,53.17726735514204,Online
375,61.0,6.0,75.54816633724235,In-Store
376,45.0,28.0,27.952050000620225,Mobile App
377,47.0,17.0,31.68371336806117,Online
378,46.0,5.0,109.08714140772332,Mobile App
379,63.0,31.0,74.62138869499027,Mobile App
380,23.0,5.0,54.91161323587675,Online
381,52.0,38.0,143.8765789681036,Mobile App
382,58.0,3.0,39.505168027381735,Online
383,54.0,53.0,89.55035626577555,Online
384,41.0,23.0,83.59041164395055,Online
385,46.0,37.0,105.93390558770369,Mobile App
386,66.0,53.0,33.87843102181374,In-Store
387,63.0,37.0,49.549416653728606,Online
388,48.0,10.0,51.6055141089011,Online
389,52.0,10.0,96.9776323429292,In-Store
390,50.0,19.0,57.86948056963265,Online
391,69.0,17.0,81.88269561143865,Mobile App
392,38.0,21.0,23.135584002413307,Mobile App
393,49.0,14.0,37.34496910680345,In-Store
394,40.0,9.0,86.7464131091438,Mobile App
395,50.0,46.0,49.70862900836193,Online
396,20.0,1.0,40.682821992518896,Mobile App
397,,51.0,108.44864959322457,In-Store
398,42.0,45.0,36.13378940394011,In-Store
399,,13.0,30.20130823894963,Online
400,48.0,4.0,16.75591168370249,Mobile App
401,20.0,1.0,95.50823401430881,Online
402,57.0,49.0,84.88434391198383,Online
403,63.0,40.0,81.18949593724908,Online
404,41.0,32.0,42.15920522083313,In-Store
405,67.0,34.0,24.90429983319937,In-Store
406,49.0,28.0,20.11730929320424,Mobile App
407,64.0,31.0,93.69109582322781,Mobile App
408,39.0,8.0,57.86386924243904,Online
409,40.0,39.0,73.31845293420307,Mobile App
410,19.0,26.0,55.09066213434695,Online
411,44.0,58.0,41.62821482830903,Mobile App
412,59.0,34.0,43.711262905670736,Mobile App
413,19.0,54.0,36.54242902006915,In-Store
414,43.0,54.0,34.79997727156254,Mobile App
415,34.0,3.0,67.87406150558512,Online
416,57.0,59.0,30.24528541502964,In-Store
417,50.0,50.0,35.437835095509236,Mobile App
418,,12.0,38.34607804685758,In-Store
419,60.0,1.0,42.937080273404405,Online
420,65.0,54.0,31.61362952954807,In-Store
421,56.0,44.0,25.492665424587003,Mobile App
422,46.0,5.0,53.28854759086164,Online
423,59.0,30.0,54.739260777853815,Online
424,43.0,30.0,92.5824908578793,Mobile App
425,52.0,59.0,60.77107048310421,Mobile App
426,67.0,57.0,71.93845111966539,Online
427,42.0,17.0,30.251057402970545,Online
428,41.0,48.0,40.260394652992986,Online
429,30.0,47.0,30.71294821164286,Online
430,24.0,23.0,32.21476764838193,In-Store
431,53.0,15.0,37.7014849969369,Mobile App
432,62.0,37.0,90.10848784341252,In-Store
433,37.0,21.0,29.128973407942684,In-Store
434,18.0,14.0,123.11180164791935,Online
435,25.0,2.0,58.21927222739337,Mobile App
436,63.0,11.0,54.316220168946046,In-Store
437,33.0,51.0,56.382783346938055,Mobile App
438,31.0,39.0,48.206168271622104,In-Store
439,29.0,38.0,39.23933479032393,Online
440,,34.0,25.154202836477218,In-Store
441,40.0,38.0,34.7669407516359,Online
442,32.0,50.0,110.08172803583136,In-Store
443,45.0,34.0,65.8185582134971,Online
444,51.0,18.0,100.01479253465016,Online
445,19.0,30.0,36.376591861168116,Mobile App
446,49.0,15.0,24.436802801265387,Online
447,40.0,27.0,48.94069294325069,Mobile App
448,39.0,51.0,39.24857908313819,Online
449,68.0,34.0,56.20418827720732,In-Store
450,42.0,52.0,28.311152620474836,In-Store
451,39.0,57.0,25.442397842530287,In-Store
452,39.0,38.0,61.27987443131105,Online
453,66.0,33.0,106.44881544173978,Online
454,69.0,24.0,58.36674135233659,Online
455,59.0,15.0,59.794017034904115,Online
456,23.0,30.0,50.89077773868116,In-Store
457,32.0,55.0,60.79354411089115,Mobile App
458,60.0,42.0,27.002919704887756,Mobile App
459,54.0,51.0,39.852914197176005,Mobile App
460,50.0,17.0,83.66014217536309,Mobile App
461,25.0,5.0,20.266258524811295,In-Store
462,61.0,29.0,41.43940227605579,Online
463,61.0,4.0,78.88007189580586,Mobile App
464,22.0,10.0,46.572727977562586,In-Store
465,56.0,56.0,,In-Store
466,21.0,17.0,37.99594016619121,Online
467,23.0,10.0,62.97293220176016,Online
468,62.0,17.0,73.4086238618309,In-Store
469,49.0,20.0,29.670972315722274,Mobile App
470,,24.0,22.649879863206717,In-Store
471,47.0,5.0,11.274353274629055,Online
472,64.0,34.0,63.978069042808045,Mobile App
473,52.0,6.0,52.093120604630556,Online
474,57.0,53.0,153.3122030770542,Online
475,69.0,2.0,42.6380683743943,Online
476,33.0,13.0,41.52627490610781,Mobile App
477,30.0,43.0,59.81374469441348,Mobile App
478,67.0,43.0,61.30872844155007,Online
479,59.0,48.0,50.26561124923673,Mobile App
480,47.0,11.0,27.497005156154884,Online
481,36.0,51.0,55.99427306142572,Mobile App
482,34.0,47.0,,Mobile App
483,36.0,57.0,56.49009362297912,Mobile App
484,45.0,23.0,70.4608606826129,Online
485,43.0,55.0,56.75412262234104,Mobile App
486,54.0,16.0,20.503240811683195,Mobile App
487,43.0,31.0,36.15055134998836,Online
488,40.0,11.0,38.89272479412745,Mobile App
489,26.0,54.0,,Online
490,29.0,16.0,59.228202706347986,Mobile App
491,18.0,8.0,44.00017010952992,Online
492,18.0,4.0,9.70076833476508,Mobile App
493,64.0,40.0,29.08321694588837,In-Store
494,51.0,4.0,57.76822361976308,Online
495,49.0,56.0,51.79621989355161,Online
496,65.0,25.0,51.25322204806389,Online
497,42.0,3.0,33.19821785020929,In-Store
498,,32.0,36.377558847114294,Online
499,62.0,3.0,33.939061296279,In-Store
500,18.0,27.0,52.16357175062223,Online
